library.prep.pool,skip.lib.prep.,Extraction.date,Extraction.conc.,unique_ID,aluminum_band,prev_band,prev_band_2,tissue_number,tissue_number_2,tissue_number_3,tissue_number_4,color_band_lr,color_band_2,sex,age,date_banded,year,plot,longitude,latitude,gps_certainty,pedigree_info,bled,blood_hemat,blood_plasma,blood_whole,feather,freezer_storage_box_location,tissue_notes,mass,bill_depth,bill_length_culmen,bill_length_nares,bill_width,tail,tarsus1,tarsus2,wing_left,wing_right,banders,percent_pine,percent_oak,percent_other,habitat,region,mol.sex
NA,,9-Jan-25,123,M_125,1793-17830,NA,,S17-015,,,,KRK,AUO,M,ASY,5/19/17,2017,SZ BV,-119.7872501,34.01381406,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W7.B6,NA,124.5,10.29,34.97,23.62,9.21,154,46.62,46.5,NA,136,RGC,0,0.5593313,0.44066871,oak,west,M
NA,,9-Jan-25,90.5,M_126,1793-17831,NA,,F17-078,S17-018,,,YYR,AUO,M,ASY,10/27/17,2017,SZ BV,-119.7901932,34.01409597,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W8.I7,NA,114.4,10.95,34.15,26.32,9.95,155,46.13,46.1,NA,142,ARG,0.02443445,0.50339197,0.47217357,pine,west,M
NA,,9-Jan-25,66.7,M_127,1793-17853,NA,,F17-105,,,,KBW,AWK,M,HY,11/5/17,2017,SZ BV,-119.7975442,34.01489201,Location,NA,Yes,No,No,Yes,Yes,1.W9.C7,NA,119.9,10.43,36.88,25.24,10.92,146,46.76,46.63,NA,134,NOL,0.41933899,0.07793349,0.50272752,pine,west,M
NA,,9-Jan-25,133,M_128,1793-17871,1363-74502,,830,F10-170,,,GOW,AP,M,ASY,6/16/09,2009,SZ PZ,-119.758401,34.00852742,Estimate,NA,Yes,NA,NA,NA,Yes,1.V1.D8,original band 1363-74502,127.1,10.9,34.42,24.24,9.63,152,47.25,47.03,NA,136,LC,0,0.40983541,0.59016459,oak,west,M
NA,,9-Jan-25,120,M_129,1793-17910,NA,,S20-002,,,,YBK;ARO,NA,M,ASY,3/5/20,2020,SZ IST,-119.60586,34.0148055,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W14.A2,NA,119.6,10.87,36.76,28.17,9.08,154,44.75,NA,NA,136,MAY,0.03439103,0.87088854,0.09472043,pine,east,M
NA,,19-Dec-25,28.3,M_13,1363-74583,NA,,F09-105,,,,UGU;AU,NA,M,AHY,10/31/09,2009,SZ Off-plot,-119.64009,33.99352,Trap Setup,NA,No,Yes,Yes,Yes,Yes,1.V3.C6,NA,117.99,10.11,34,25,9.42,149,47.01,47.03,NA,137,KL,0,0.3534685,0.64653151,oak,east,M
NA,,9-Jan-25,183,M_130,1793-17951,NA,,F20-169,,,,BWB;ARO,NA,M,AHY,11/28/20,2020,SZ IST,-119.59948,34.0143816,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.X4.D8,NA,118.2,10.52,35.92,25.46,9.56,154,47.01,46.94,NA,136,CIM,0.04868242,0.57448737,0.37683021,pine,east,M
NA,,9-Jan-25,163,M_131,1793-94905,NA,,F19-101,,,,O7B;ARO,NA,M,AHY,11/23/19,2019,SZ CP,-119.59345,34.0084145,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W13.C2,NA,120.5,10.41,33.1,25.13,9.13,160,47.01,NA,NA,141,ARR,0,0.49691971,0.50308029,oak,east,M
NA,,9-Jan-25,114,M_132,1833-00386,NA,,S16-038,,,,RYR,APO,M,ASY,5/29/16,2016,SZ PZ,-119.7671072,34.00725399,Trap Setup,NA,Yes,No,No,Yes,Yes,1.W5.E2,NA,130.7,10.42,35.52,26.2,9.41,0,46.39,46.04,NA,0,KLR,0,0.55683564,0.44316436,oak,west,M
NA,,9-Jan-25,33.8,M_133,1833-00505,NA,,S14-101,,,,OUG,AWO,M,ASY,6/6/14,2014,SZ SAU,-119.81316,34.00677596,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.X1.B9,NA,120.81,10.29,NA,24.67,9.4,155,46.75,46.87,NA,132,MCH,0.77822116,0,0.22177885,pine,west,M
NA,,9-Jan-25,45.3,M_134,1833-00513,1603-78721,,F10-120,S10-009,,,YYU,AP,M,ASY,11/6/10,2010,SZ PZ,-119.7627081,34.00649382,Trap Setup,NA,Yes,Yes,Yes,Yes,Yes,1.V6.E2,original band 1603-78721,122.73,10.25,34.26,26.71,9.36,156,47.89,NA,NA,138,KL,0,0.57650579,0.42349421,oak,west,M
NA,,9-Jan-25,28.6,M_135,1833-00539,NA,,F14-056,,,,BYR,AWO,M,AHY,11/19/14,2014,SZ SAU,-119.818367,34.001945,Estimate,NA,Yes,No,No,Yes,Yes,1.X2.B9,NA,118.4,10.22,33.33,24.78,8.7,158,45.4,45.38,NA,138,SAM,0.45063368,0.24423538,0.30513095,pine,west,M
NA,,9-Jan-25,84.1,M_136,1833-00559,NA,,S15-018,,,,BOY,AWO,M,ASY,5/19/15,2015,SZ SAU,-119.8141666,34.00083344,Location,NA,Yes,No,No,Yes,Yes,1.W2.B9,NA,115.45,9.54,NA,22.86,9.76,156,45.63,45.77,135,0,NOL,0.32236128,0.08042601,0.5972127,pine,west,M
NA,,9-Jan-25,9.08,M_137,1833-00561,NA,,S15-021,,,,YPK,AWO,M,AHY,5/19/15,2015,SZ SAU,-119.8141666,34.00083344,Location,NA,Yes,No,No,Yes,Yes,1.W2.C3,NA,117.33,10.44,NA,25.46,9.47,157,46.83,45.66,135,0,KLR,0.32236128,0.08042601,0.5972127,pine,west,M
NA,,9-Jan-25,86.9,M_138,1833-00603,NA,,S16-066,,,,WWO,AWO,M,ASY,6/14/16,2016,SZ SAU,-119.8149998,34.00833361,Location,NA,Yes,No,No,Yes,Yes,1.W5.H3,clot,122.4,10.36,33.15,24.67,10.12,0,45.38,45.52,NA,0,KLR,0.90340411,0.03797798,0.05861791,pine,west,M
